n,d,k,rang,z,sigma,runk,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,av prec,max prec,av recall,max recall
10120,2,20,50,100,1,22,143.76,127.68,153.14,152.72,126.32,111.96,134.2,154.28,122.92,122.08,134.906,0.8896179183135706,0.901185770750988,0.9940000000000001,1.0
10120,2,20,50,100,1,23,143.76,127.68,153.14,152.72,126.32,111.96,134.2,154.28,122.92,122.08,134.906,0.8545730211817171,0.8623188405797102,1.0,1.0
10120,2,20,50,100,1,24,143.76,127.68,153.14,152.72,126.32,111.96,134.2,154.28,122.92,122.08,134.906,0.8233846153846154,0.8299999999999998,1.0,1.0
10120,2,20,50,100,1,25,143.76,127.68,153.14,152.72,126.32,111.96,134.2,154.28,122.92,122.08,134.906,0.7865527065527065,0.7907692307692307,1.0,1.0
10120,2,20,50,100,1,26,143.76,127.68,153.14,152.72,126.32,111.96,134.2,154.28,122.92,122.08,134.906,0.7591329487881211,0.7635327635327636,1.0,1.0
10120,2,20,50,100,1,27,143.76,127.68,153.14,152.72,126.32,111.96,134.2,154.28,122.92,122.08,134.906,0.7308301404853129,0.7354497354497354,1.0,1.0
10120,2,20,50,100,1,28,143.76,127.68,153.14,152.72,126.32,111.96,134.2,154.28,122.92,122.08,134.906,0.7040722495894911,0.7093596059113302,1.0,1.0
10120,2,20,50,100,1,29,143.76,127.68,153.14,152.72,126.32,111.96,134.2,154.28,122.92,122.08,134.906,0.6805190952910642,0.6850574712643679,1.0,1.0
10120,15,20,50,100,1,20,115.5,115.5,135.5,105.5,155.5,115.5,155.5,115.5,155.5,145.5,131.5,0.9760000000000002,1.0,0.9760000000000002,1.0
10120,15,20,50,100,1,21,115.5,115.5,135.5,105.5,155.5,115.5,155.5,115.5,155.5,145.5,131.5,0.9428571428571428,0.9523809523809523,0.99,1.0
