n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd,cost,cr,cost sd,cr sd
12020,15,20,50,2000,10,20,1.0,1184866.6836600644,1164908.2465441455,1203015.45640997,1215542.9578812767,1208106.1868911781,1177739.371040163,1245003.112237262,1207184.0551246912,1221066.4249731193,1240621.328918288,1206805.3823680156,283892.26287079364,0.95849,0.9724999999999999,0.95849,0.9724999999999999,1206805.3823680156,0.54,0.00979943365710487,0.00979943365710487,0.005974947698515867,24454.071031780888
12020,15,20,50,2000,10,21,1.0,1151405.1506474752,1179382.021979524,1143682.0622642566,1185770.1531313655,1207865.6223861913,1211403.4250477913,1171416.4072913867,1202489.8360605382,1225499.7296129323,1173882.909394794,1185279.7317816254,283892.26287079364,0.9542200000000001,0.9738999999999999,0.9542200000000001,0.9738999999999999,1185279.7317816254,0.5640000000000001,0.010256100623531363,0.010256100623531363,0.010128672173587231,25182.060868496446
12020,15,20,50,2000,10,22,1.0,1169636.3739165177,1146042.0917164437,1112288.4963814288,1122769.415290872,1169848.096879023,1140088.2670581911,1195136.7417498708,1174807.6973299354,1194878.6472313423,1241624.166370808,1166711.999392443,283892.26287079364,0.9552799999999999,0.9733,0.9552799999999999,0.9733,1166711.999392443,0.5970000000000001,0.012481089696016131,0.012481089696016131,0.009932774033471205,36504.82539762707
12020,15,20,50,2000,10,23,1.0,1176143.980482503,1143428.9504004181,1152750.372191873,1103237.2802435898,1160938.7909507076,1163142.164526322,1164026.7243948919,1139772.4105377572,1136646.446458702,1153924.0682350653,1149401.1188421831,283892.26287079364,0.9595500000000001,0.9751999999999998,0.9595500000000001,0.9751999999999998,1149401.1188421831,0.6010000000000001,0.009446613149695488,0.009446613149695488,0.009190212184710432,19248.008341541637
12020,15,20,50,2000,10,24,1.0,1157305.15157129,1125579.499838805,1164551.5464207171,1166018.1545664505,1171408.358067365,1138958.1496393324,1177457.69435171,1125400.9502568415,1127323.9463834888,1129825.308070206,1148382.8759166207,283892.26287079364,0.95917,0.97575,0.95917,0.97575,1148382.8759166207,0.6,0.008559094578283355,0.008559094578283355,0.00803507933999411,19880.653982020176
12020,15,20,50,2000,10,25,1.0,1095263.7407557045,1120069.6020017902,1148975.5199392824,1096502.4860164765,1151653.069018458,1109239.8508154517,1145436.8776903846,1146697.5474059284,1115395.5415323984,1132960.897306721,1126219.5132482597,283892.26287079364,0.95961,0.9793000000000001,0.95961,0.9793000000000001,1126219.5132482597,0.6280000000000001,0.013580460227842043,0.013580460227842043,0.008761278445523796,20696.50961927672
12020,15,20,50,2000,10,26,1.0,1130274.2793089352,1096467.6916556496,1094521.567102347,1140187.3538162862,1125496.8006319455,1060239.7619020105,1114978.494254309,1127902.65116412,1121778.8470794354,1080762.1339046366,1109260.9580819672,283892.26287079364,0.96029,0.97735,0.96029,0.97735,1109260.9580819672,0.625,0.01261780091775103,0.01261780091775103,0.012456022639671155,24072.147095604796
12020,15,20,50,2000,10,27,1.0,1061740.3779234977,1128343.0696206908,1116291.7882009472,1104133.2946666018,1152057.9312714792,1097838.0978066665,1079826.1266607349,1129930.0724888772,1066296.7986025345,1138065.4169405482,1107452.2974182577,283892.26287079364,0.9567100000000002,0.9767999999999999,0.9567100000000002,0.9767999999999999,1107452.2974182577,0.6280000000000001,0.012375980769215795,0.012375980769215795,0.011004998864152616,29320.036803860803
12020,15,20,50,2000,10,28,1.0,1105647.485476951,1090593.0524977432,1061378.9784355294,1074896.0135952693,1137255.6223056507,1083623.9283474616,1036798.8139070289,1141041.5659751494,1101912.5367887623,1068572.6016157395,1090172.0598945287,283892.26287079364,0.96297,0.9805999999999999,0.96297,0.9805999999999999,1090172.0598945287,0.66,0.01404535866398583,0.01404535866398583,0.009984487968844487,30988.046840709598
12020,15,20,50,2000,10,29,1.0,1058809.1574480725,1068320.1228231806,1078972.295407527,1115913.9871065994,1134336.3950960294,1057428.4183946426,1115495.8672025662,1080311.0879684412,1095306.9898174459,1119255.3335334319,1092414.9654797937,283892.26287079364,0.96006,0.9765499999999999,0.96006,0.9765499999999999,1092414.9654797937,0.652,0.00890608780554066,0.00890608780554066,0.008580355470491886,26138.643705023555
