n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd,cost,cr,cost sd,cr sd
12020,15,20,50,2000,10,20,1,971527.7986954108,972323.3339980803,954439.0761224858,970360.8314656861,1005814.30463342,1024156.7095852006,1006852.3267236582,981587.2647850955,964237.3294744242,947262.4928039178,979856.146828738,283892.26287079364,0.9930900000000001,0.99655,0.9930900000000001,0.99655,979856.146828738,0.571,0.001815736765062588,0.001815736765062588,0.0012338962679253065,23530.285171644035
12020,15,20,50,2000,10,21,1,921318.6315179996,942451.9615052663,946777.1972588447,958227.1402607344,984908.2390540969,984588.0733949993,916452.3295498748,977735.4706178015,896157.8014338075,943592.1729525777,947220.9017546003,283892.26287079364,0.99434,0.9969000000000001,0.99434,0.9969000000000001,947220.9017546003,0.606,0.0010248902380255174,0.0010248902380255174,0.0010440306508910527,28513.32547930629
12020,15,20,50,2000,10,22,1,994911.7965103254,931545.988770508,919513.873164499,977449.7807860946,903576.6108907319,950761.3102448415,916805.5725778934,906574.8629043273,951093.5769192033,918445.3935149532,937067.8766283378,283892.26287079364,0.99389,0.9968,0.99389,0.9968,937067.8766283378,0.6100000000000001,0.0016275441622272575,0.0016275441622272575,0.0008999999999999897,29169.039298753603
12020,15,20,50,2000,10,23,1,884926.2469147777,903306.0579222189,847750.8267194364,902189.5935005907,927257.5354048538,924288.340631761,890171.69129591,943909.3514366245,931308.885482453,897453.2985241662,905256.182783279,283892.26287079364,0.9950800000000001,0.9975500000000002,0.9950800000000001,0.9975500000000002,905256.182783279,0.647,0.001190630085290981,0.001190630085290981,0.00121346610995115,26534.693188101246
12020,15,20,50,2000,10,24,1,882727.6779374096,875886.7114863871,909645.127872766,913356.7580265388,916336.9248718399,896113.2514950586,895670.1196659838,906719.5631347016,919301.8534998061,916053.7430856075,903181.1731076101,283892.26287079364,0.9942500000000001,0.9968,0.9942500000000001,0.9968,903181.1731076101,0.654,0.00090027773492409,0.00090027773492409,0.0010535653752852716,14234.476393088406
12020,15,20,50,2000,10,25,1,894288.5079935035,873284.9850032169,850509.0315293914,913072.2900012808,923046.4648729697,912366.9655597955,931520.5137197521,929028.7099045806,859873.9431246174,880549.1112356922,896754.05229448,283892.26287079364,0.9934100000000001,0.9963000000000001,0.9934100000000001,0.9963000000000001,896754.05229448,0.6489999999999999,0.0017131549842323212,0.0017131549842323212,0.0013453624047073882,27874.57588278745
12020,15,20,50,2000,10,26,1,852067.3086830039,872378.1323637478,869734.1998082908,835863.8651315734,878582.8824958801,892723.8522004604,857949.503292144,872617.9299540285,883354.8008762322,864646.3157047589,867991.879051012,283892.26287079364,0.99451,0.9966999999999999,0.99451,0.9966999999999999,867991.879051012,0.6819999999999999,0.0009256889326334246,0.0009256889326334246,0.0012288205727444574,15496.379539568188
12020,15,20,50,2000,10,27,1,881616.0851867662,880530.8030959342,854696.5292134298,868119.5029199322,861455.6992866669,864735.5465481982,909457.4713623712,869106.8225703891,880014.7233964006,832432.5201093514,870216.570368944,283892.26287079364,0.9939,0.9962,0.9939,0.9962,870216.570368944,0.6929999999999998,0.0012976902558006805,0.0012976902558006805,0.0007810249675906506,19113.12192224996
12020,15,20,50,2000,10,28,1,874308.1722125348,891467.66961236,853851.6851119613,851380.2516814998,869805.4236199756,851892.5552493479,845585.4266774866,864582.4152741863,822637.2826902329,860218.4580108064,858572.9340140391,283892.26287079364,0.9940599999999999,0.9969000000000001,0.9940599999999999,0.9969000000000001,858572.9340140391,0.7090000000000001,0.0009275774900244156,0.0009275774900244156,0.001019803902718561,17530.974022824335
12020,15,20,50,2000,10,29,1,838608.2386836611,840711.5435680577,832098.6822693788,847274.2107692225,788024.7120486302,857153.6303126754,858033.0359449412,834034.1029660614,882363.5180875476,879610.1531495961,845791.1827799773,283892.26287079364,0.9939499999999999,0.9965000000000002,0.9939499999999999,0.9965000000000002,845791.1827799773,0.7100000000000001,0.001026888504171716,0.001026888504171716,0.0012041594578792213,25500.00407593384
